Dataset,Metric,Non-Metric,Obs.,Min. Obs.,Maj. Obs.,IR,Classes
ABALONE,1,7,4139,15,689,45.93,18
ADULT,8,6,5000,1268,3732,2.94,2
ADULT (10),8,6,5000,451,4549,10.09,2
ANNEALING,4,6,790,34,608,17.88,4
CENSUS,24,7,5000,337,4663,13.84,2
CONTRACEPTIVE,4,5,1473,333,629,1.89,3
CONTRACEPTIVE (10),4,5,1036,62,629,10.15,3
CONTRACEPTIVE (20),4,5,990,31,629,20.29,3
CONTRACEPTIVE (31),4,5,973,20,629,31.45,3
CONTRACEPTIVE (41),4,5,966,15,629,41.93,3
COVERTYPE,2,10,5000,20,2449,122.45,7
CREDIT APPROVAL,9,6,653,296,357,1.21,2
GERMAN CREDIT,13,7,1000,300,700,2.33,2
GERMAN CREDIT (10),13,7,770,70,700,10.00,2
GERMAN CREDIT (20),13,7,735,35,700,20.00,2
GERMAN CREDIT (30),13,7,723,23,700,30.43,2
GERMAN CREDIT (41),13,7,717,17,700,41.18,2
HEART DISEASE,5,5,740,22,357,16.23,5
HEART DISEASE (21),5,5,735,17,357,21.00,5
THYROID,22,6,5000,1376,3624,2.63,2
THYROID (10),22,6,4584,416,4168,10.02,2
THYROID (101),22,6,4209,41,4168,101.66,2
THYROID (20),22,6,4376,208,4168,20.04,2
THYROID (30),22,6,4306,138,4168,30.20,2
THYROID (40),22,6,4272,104,4168,40.08,2
THYROID (50),22,6,4251,83,4168,50.22,2
THYROID (60),22,6,4237,69,4168,60.41,2
THYROID (70),22,6,4227,59,4168,70.64,2
THYROID (80),22,6,4220,52,4168,80.15,2
THYROID (90),22,6,4214,46,4168,90.61,2
